VENDOR_ID,ADVERTISER,MI_CAMPAIGN_NAME,MEDIA_SUBTYPE,PLAN_LABEL,AUDIENCE,FLIGHT_LABEL,SITE_NAME,DEVICE,CREATIVE_NAME
4032.5.7,away,job,man,teach,Adults 25-44,by,Sky Direct,Unknown,actually
4032.5.7,away,job,man,teach,Adults 25-44,by,Sky Direct,Unknown,hot
4136.9.3,least,growth,man,possible,Adults 25-44,give,Sky Direct,"Desktop, Mobile, Unknown",heavy
3885.3.25,former,account,man,occur,Adults 25-44,other,Sky Direct,"Desktop, Mobile, Unknown",fund
4090.3.3,quickly,scientist,man,rather,Adults 15+,meeting,Sky Direct,"Desktop, Mobile, Unknown",a
4114.19.9,way,assume,man,teach,Housekeepers,behavior,Sky Direct,"Desktop, Mobile, Unknown",social
4110.3.25,way,huge,man,teach,Adults 15+,big,Core - RTE - Tag 38,"Desktop, Mobile, Unknown",ability
4110.3.25,way,huge,man,teach,Adults 15+,big,Sky Direct,"Desktop, Mobile, Unknown",ability
4110.3.25,way,huge,man,teach,Adults 15+,big,Discovery+ Midroll - Tag 4,"Desktop, Mobile, Unknown",ability
4110.3.25,way,huge,man,teach,Adults 15+,big,Core - All4 - Tag 1,"Desktop, Mobile, Unknown",ability
4110.3.25,way,huge,man,teach,Adults 15+,big,Core - Samsung TV - Tag 1,"Desktop, Mobile, Unknown",ability
4110.3.25,way,huge,man,teach,Adults 15+,big,Rakuten - Influent Media -  Tag 1,"Desktop, Mobile, App",ability
4110.3.25,way,huge,man,teach,Adults 15+,big,Core - VMS - Tag 4,"Desktop, Mobile, Unknown",ability
4110.3.25,way,huge,man,teach,Adults 15+,big,ClubberTV - Midroll Tag 3,"Desktop, Mobile, Unknown",ability
3689.6.21,behavior,good,man,citizen,Adults 15+,local,Sky Direct,"Desktop, Mobile, Unknown",federal
4152.10.7,officer,line,man,order,Housekeepers with Children,human,Sky Direct,"Desktop, Mobile, Unknown",check
3750.4.4,suggest,produce,man,Mr,Adults 15+,reality,Sky Direct,"Desktop, Mobile, Unknown",cause
4116.59.35,way,foreign,man,teach,Adults 25-54,language,Sky Direct,"Desktop, Mobile, Unknown",force
3789.52.6,choose,theory,man,field,Adults 25-44,major,Sky Direct,"Desktop, Mobile, Unknown",scientist
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Core - RTE - Tag 39,"Desktop, Mobile, Unknown",sort
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Core - RTE - Tag 39,"Desktop, Mobile, Unknown",field
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Discovery+ Midroll - Tag 4,"Desktop, Mobile, Unknown",field
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Sky Direct,"Desktop, Mobile, Unknown",field
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Sky Direct,"Desktop, Mobile, Unknown",sort
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Discovery+ Midroll - Tag 4,"Desktop, Mobile, Unknown",sort
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Core - VMS - Tag 4,"Desktop, Mobile, Unknown",field
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Core - All4 - Tag 1,"Desktop, Mobile, Unknown",field
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Rakuten - Influent Media -  Tag 1,"Desktop, Mobile, App",field
3689.6.41,behavior,good,man,citizen,Adults 15+,local,ClubberTV - Midroll Tag 2,"Desktop, Mobile, Unknown",field
3689.6.41,behavior,good,man,citizen,Adults 15+,local,ClubberTV - Midroll Tag 2,"Desktop, Mobile, Unknown",sort
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Rakuten - Influent Media -  Tag 1,"Desktop, Mobile, App",sort
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Core - All4 - Tag 1,"Desktop, Mobile, Unknown",sort
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Core - VMS - Tag 4,"Desktop, Mobile, Unknown",sort
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Core - Samsung TV - Tag 3,"Desktop, Mobile, Unknown",sort
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Core - Samsung TV - Tag 3,"Desktop, Mobile, Unknown",field
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Core - RTE - Tag 39,"Desktop, Mobile, Unknown",law
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Core - VMS - Tag 4,"Desktop, Mobile, Unknown",law
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Rakuten - Influent Media -  Tag 1,"Desktop, Mobile, App",law
3689.6.41,behavior,good,man,citizen,Adults 15+,local,ClubberTV - Midroll Tag 2,"Desktop, Mobile, Unknown",law
3689.6.41,behavior,good,man,citizen,Adults 15+,local,Discovery+ Midroll - Tag 4,"Desktop, Mobile, Unknown",law
4119.7.40,way,line,man,end,Adults 25-54,necessary,Core - RTE - Tag 38,"Desktop, Mobile, Unknown",eight
4119.7.40,way,line,man,end,Adults 25-54,necessary,Sky Direct,"Desktop, Mobile, Unknown",eight
4119.7.40,way,line,man,end,Adults 25-54,necessary,Rakuten - Influent Media -  Tag 1,"Desktop, Mobile, App",eight
4119.7.40,way,line,man,end,Adults 25-54,necessary,Core - VMS - Tag 4,"Desktop, Mobile, Unknown",eight
4119.7.40,way,line,man,end,Adults 25-54,necessary,Core - Samsung TV - Tag 1,"Desktop, Mobile, Unknown",eight
4119.7.40,way,line,man,end,Adults 25-54,necessary,Discovery+ Midroll - Tag 4,"Desktop, Mobile, Unknown",eight
4119.7.40,way,line,man,end,Adults 25-54,necessary,Core - All4 - Tag 1,"Desktop, Mobile, Unknown",eight
4119.7.40,way,line,man,end,Adults 25-54,necessary,ClubberTV - Midroll Tag 3,"Desktop, Mobile, Unknown",eight
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,MHIE_independent.ie,"Desktop, Mobile, App",day
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Core - RTE - Tag 4,"Desktop, Mobile, Unknown",day
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Dailymail.co.uk,"Desktop, Mobile",day
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,evoke.ie,"Desktop, Mobile",day
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,extra.ie,"Desktop, Mobile",day
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,thejournal.ie,"Desktop, Mobile, App",day
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Trinity Mirror,"Desktop, Mobile, App",day
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Core - VMS - Tag 2,"Desktop, Mobile, Unknown",day
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Soundcloud Video - CORE,"Desktop, Mobile, App",day
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Rakuten - Influent Media -  Tag 4,"Desktop, Mobile, App",day
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Discovery+ Midroll - Tag 4,"Desktop, Mobile, Unknown",day
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Trinity Mirror,"Desktop, Mobile, App",teach
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Dailymail.co.uk,"Desktop, Mobile",teach
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,MHIE_independent.ie,"Desktop, Mobile, App",teach
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,thejournal.ie,"Desktop, Mobile, App",teach
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,extra.ie,"Desktop, Mobile",teach
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,evoke.ie,"Desktop, Mobile",teach
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Rakuten - Influent Media -  Tag 4,"Desktop, Mobile, App",teach
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Discovery+ Midroll - Tag 4,"Desktop, Mobile, Unknown",teach
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Soundcloud Video - CORE,"Desktop, Mobile, App",teach
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Core - All4 - Tag 4,"Desktop, Mobile, Unknown",teach
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,Core - VMS - Tag 2,"Desktop, Mobile, Unknown",teach
4181.14.13,Democrat,threat,man,condition,Adults 15-54,cause,ClubberTV - Midroll Tag 4,"Desktop, Mobile, Unknown",teach
4004.31.11,treatment,management,man,past,Adults 15-44,animal,Sky Direct,"Desktop, Mobile, Unknown",doctor
4004.31.11,treatment,management,man,past,Adults 15-44,animal,Sky Direct,"Desktop, Mobile, Unknown",sometimes
4016.5.3,eat,anyone,man,guess,Adults 25-44,now,Sky Direct,"Desktop, Mobile, Unknown",develop
4146.6.4,school,movie,man,American,Adults 25-44,how,Sky Direct,"Desktop, Mobile, Unknown",western
4125.16.15,pull,reduce,man,technology,Adults 25-44,popular,Core - RTE - Tag 39,"Desktop, Mobile, Unknown",former
4125.16.15,pull,reduce,man,technology,Adults 25-44,popular,Core - RTE - Tag 39,"Desktop, Mobile, Unknown",however
