VENDOR_ID,DAY,SITE_NAME,DEVICE,CREATIVE_NAME,IMPRESSIONS,CLICKS,SPEND
4032.5.7,10/02/2025,Sky Direct,Unknown,actually,1,0,0.01
4032.5.7,25/02/2025,Sky Direct,Unknown,actually,1,0,0.01
4032.5.7,14/02/2025,Sky Direct,Unknown,actually,1,0,0.01
4032.5.7,16/02/2025,Sky Direct,Unknown,actually,1,0,0.01
4032.5.7,16/02/2025,Sky Direct,Unknown,hot,1,0,0.02
4032.5.7,18/02/2025,Sky Direct,Unknown,actually,1,0,0.01
4032.5.7,21/02/2025,Sky Direct,Unknown,actually,1,0,0.01
4032.5.7,12/02/2025,Sky Direct,Unknown,actually,1,0,0.01
4032.5.7,06/02/2025,Sky Direct,Unknown,actually,3,0,0.04
4032.5.7,09/02/2025,Sky Direct,Unknown,actually,1,0,0.01
4032.5.7,13/02/2025,Sky Direct,Unknown,actually,1,0,0.01
4032.5.7,02/02/2025,Sky Direct,Unknown,actually,3,0,0.04
4032.5.7,11/02/2025,Sky Direct,Unknown,hot,1,0,0.02
4032.5.7,11/02/2025,Sky Direct,Unknown,actually,6,0,0.07
4032.5.7,07/02/2025,Sky Direct,Unknown,actually,7,0,0.08
4032.5.7,07/02/2025,Sky Direct,Unknown,hot,1,0,0.02
4032.5.7,08/02/2025,Sky Direct,Unknown,actually,1,0,0.01
4032.5.7,03/02/2025,Sky Direct,Unknown,actually,3,0,0.04
4032.5.7,03/02/2025,Sky Direct,Unknown,hot,1,0,0.02
4136.9.3,14/02/2025,Sky Direct,"Desktop, Mobile, Unknown",heavy,3,0,0.07
4136.9.3,03/02/2025,Sky Direct,"Desktop, Mobile, Unknown",heavy,1,0,0.02
4136.9.3,04/02/2025,Sky Direct,"Desktop, Mobile, Unknown",heavy,1,0,0.02
4136.9.3,02/02/2025,Sky Direct,"Desktop, Mobile, Unknown",heavy,4,0,0.1
4136.9.3,11/02/2025,Sky Direct,"Desktop, Mobile, Unknown",heavy,1,0,0.02
4136.9.3,18/02/2025,Sky Direct,"Desktop, Mobile, Unknown",heavy,1,0,0.02
4136.9.3,15/02/2025,Sky Direct,"Desktop, Mobile, Unknown",heavy,3,0,0.07
